MA4 TRAINWISE INTERCHANGE
[  Zone: WR,  DateFrom: 05-06-2025,  DateTo: 05-06-2025,  Gauge: BG,;  TakenOver: 166=177+0;  HandedOver: 160=172+0;  HandedOverCc8Cont: 120;  HandedOverCc6Cont: 10;  TakenOverCc8Cont: 119;  TakenOverCc6Cont: 7 ]
"DATE","ZONE FROM","ZONE TO","IC STTN","TAKEN OVER SR.NO.","TAKEN OVER DRTN","TAKEN OVER STTN FROM","TAKEN OVER DVSN FROM","TAKEN OVER ZONE FROM","TAKEN OVER STTN TO","TAKEN OVER DVSN TO","TAKEN OVER ZONE TO","TAKEN OVER OWNR","TAKEN OVER LOAD NAME","TAKEN OVER L/E","TAKEN OVER CMDT","TAKEN OVER CNSR","TAKEN OVER CNSG","TAKEN OVER TYPE","TAKEN OVER MULTIDSTN DVSN(DSTN)","TAKEN OVER MULTIDSTN UNITS","TAKEN OVER DS","TAKEN OVER 8W(L)","TAKEN OVER 8W(E)","TAKEN OVER 8W(BV)","TAKEN OVER TOTL(8W)","TAKEN OVER OWNG","TAKEN OVER LOCO","TAKEN OVER LOCO TYPE","TAKEN OVER LOCO UNTS","TAKEN OVER LOCO HRP","TAKEN OVER TIME","TAKEN OVER CC+6","TAKEN OVER CC+8","TAKEN OVER RAKEID","TAKEN OVER TWIN PIPE","TAKEN OVER CTGR","TAKEN OVER EXAM TYPE","TAKEN OVER TONNAGE(in Tonnes)","TAKEN OVER LDNG DATE","HANDED  OVER INTERCHANGE POINT STATION","HANDED  OVER INTERCHANGE POINT DIVISION","HANDED  OVER INTERCHANGE POINT ZONE","HANDED OVER SR.NO.","TAKEN OVER INTERCHANGE  POINT STATION","TAKEN OVER INTERCHANGE  POINT DIVISION","TAKEN OVER INTERCHANGE  POINT ZONE","HANDED OVER DRTN","HANDED OVER STTN FROM","HANDED OVER DVSN FROM","HANDED OVER ZONE FROM","HANDED OVER STTN TO","HANDED OVER DVSN TO","HANDED OVER ZONE TO","HANDED OVER OWNR","HANDED OVER LOAD NAME","HANDED OVER L/E","HANDED OVER CMDT","HANDED OVER CNSR","HANDED OVER CNSG","HANDED OVER TYPE","HANDED OVER MULTIDSTN DVSN(DSTN)","HANDED OVER MULTIDSTN UNITS","HANDED OVER DS","HANDED OVER 8W(L)","HANDED OVER 8W(E)","HANDED OVER 8W(BV)","HANDED OVER TOTL(8W)","HANDED OVER OWNG","HANDED OVER LOCO","HANDED OVER LOCO TYPE","HANDED OVER LOCO UNTS","HANDED OVER LOCO HRP","HANDED OVER TIME","HANDED OVER CC+6","HANDED OVER CC+8","HANDED OVER RAKEID","HANDED OVER TWIN PIPE","HANDED OVER CTGR","HANDED OVER EXAM TYPE","HANDED OVER TONNAGE(in Tonnes)","HANDED OVER LDNG DATE",
"05-06-2025","WR","CR","BSR","19","KYN","JNPT","BB","CR","CGMV","BRC","WR","CONR","=M-3-=731","L","CONT","CONR","CONR","BLL","","","N","37","3","1","40.0+1.0","EC","41284","WAG9H","SU","S","16:02","","Y","TICD210623042935","Y","C","Valid CC","1159.85","23:55 04-06-25","SAH","WDFC","DFCR","19","SJN","WDFC","DFCR","KYN","CCMP","BPL","WC","JNPT","BB","CR","CONR","R-89H-MDCC","L","CONT","CONR","CONR","BLC","","","N","45","0","0","45.0+0.0","WR","24692","WAG7","SU","D","15:20","","Y","ICDD170425134734","Y","C","Valid CC","1418.45","23:55 04-06-25",
"05-06-2025","WR","CR","BSR","20","KYN","JNPT","BB","CR","CGMV","BRC","WR","CONR","SNF-J-=727","L","CONT","CONR","CONR","BLC","","","N","45","0","1","45.0+1.0","WC","43724","WAG9HC","SU","S","16:27","","Y","CSTN240425201505","Y","C","Valid CC","495.98","23:45 04-06-25","SAH","WDFC","DFCR","","","","","","","","WC","","","CR","","","","","","","","","","","","","","","NR","33680","WAG9HC","SU","D","","","","","Y","","","","",
"05-06-2025","WR","CR","BSR","21","KYN","FSG","PUNE","CR","BRCY","BRC","WR","IR","SSV/BCNE","E","","","","BCN","","","N","0","42","1","42.0+1.0","NR","33496","WAG9HC","SU","S","17:36","","","MRJ 220525111342","N","P","Valid Premium","0","","","","","20","BSR","BB","CR","KYN","MBPP","BB","CR","LPBP","UMB","NR","IR","BHARAT-03-LPBP","L","LPG","BPC","BPC","BTPG","","","N","26","2","1","28.0+1.0","NR","28077","WAG7","SU","N","15:23","","Y","KTTY070623213642","Y","C","Valid CC","977.6","",
"05-06-2025","WR","CR","BSR","22","KYN","CRTK","BB","CR","SCLS","ADI","WR","CONR","JS-13/-","L","CONT","CONR","CONR","BLC","","","N","45","0","1","45.0+1.0","EC","41130","WAG9H","SU","S","18:26","","Y","ICDD210525080301","N","C","Valid CC","233.98","03:30 05-06-25","","","","21","","","","KYN","UNGU","BCT","WR","KTIG","BB","CR","CONR","UNGU/KTIG","L","IS","CJD","CJD","BRN","","","N","43","0","0","43.0+0.0","WC","43554","WAG9HC","SU","S","15:35","","Y","BSPC130525152325","N","P","Valid Premium","2790.31","03:30 05-06-25",
"05-06-2025","WR","CR","BSR","23","KYN","GIT","PUNE","CR","TMBY","BB","CR","IR","BHIMA2","E","HSD, MS","","","BTPN","","","N","0","50","2","50.0+2.0","NW","43657","WAG9HC","SU","S","18:51","","","BAD 140125091018","N","C","Valid CC","0","","SJN","WDFC","DFCR","22","","","","KYN","AFAS","BCT","WR","JNPT","BB","CR","IR","AFAS/JNPT2-","L","CONT","ADIL","ADIL","BLC","","","N","45","0","0","45.0+0.0","CR","60495","WAG12B","SU","N","15:47","","Y","SMYD190324193946","Y","C","Valid CC","396.77","",
"05-06-2025","WR","CR","BSR","24","KYN","JNPT","BB","CR","MKPP","PRYJ","NC","CONR","RK--079-PMLP=02","L","CONT","PMLP","PMLP","BLC","","","N","32","13","1","45.0+1.0","WR","43882","WAG9HC","SU","S","19:09","","Y","GMC 151224064642","N","C","Valid CC","1265","17:45 03-06-25","SJN","WDFC","DFCR","23","","","","KYN","DAA","JHS","NC","APK","MDU","SR","CONR","APK","L","W","AEXI","AEXI","BCN","","","N","21","21","1","42.0+1.0","WR","12358","WDG4","SU","N","16:10","Y","","NCR 180624175134","N","P","Valid Premium","1336.2","17:45 03-06-25",
"05-06-2025","WR","CR","BSR","25","KYN","MBPP","BB","CR","LPBP","UMB","NR","BPC","BHARAT-03-LPBP","L","LPG","BPC","BPC","BTPG","","","N","26","2","1","28.0+1.0","NR","28077","WAG7","SU","N","19:15","","Y","KTTY070623213642","Y","C","Valid CC","977.6","19:30 04-06-25","SAH","WDFC","DFCR","","","","","","","","NC","","","SR","","","","","","","","","","","","","","","WR","42322","WAG9HC","SU","N","","","","","N","","","","",
"05-06-2025","WR","CR","BSR","26","KYN","URAN","BB","CR","BRCY","BRC","WR","IR","URAN/BSR","E","","","","BCN","","","N","0","41","1","41.0+1.0","NR","32315","WAG9HC","SU","S","20:26","","","ED  260225101715","Y","P","Invalid Premium","0","","","","","24","","","","KYN","CGMV","BRC","WR","JNPT","BB","CR","IR","CS=9/MT-11","L","CONT","CONR","CONR","BLL","","","N","37","3","1","40.0+1.0","WR","23629","WAG5H","MU","N","17:51","","Y","ICDW030525174611","Y","C","Valid CC","468.61","",
"05-06-2025","WR","CR","BSR","27","KYN","TVSG","BB","CR","DKT","UMB","NR","IR","BA-BZA-TP-20","L","FERT","RCF","RCF","BCNHL","DLI(KKDE), UMB(DKT)","28+30","N","55","3","1","58.0+1.0","NR","32206","WAG9HC","SU","N","20:27","","Y","BZA 280125191229","Y","C","Valid CC","2750","19:45 04-06-25","GTX","WDFC","DFCR","","","","","","","","WR","","","CR","","","","","","","","","","","","","","","WR","23936","WAG5H","MU","N","","","","","Y","","","","",
"05-06-2025","WR","CR","BSR","28","KYN","JNPT","BB","CR","AFAS","BCT","WR","CONR","ICTAI-03ADIL27","L","CONT","ADIL","ADIL","BLC","","","N","45","0","0","45.0+0.0","CR","60346","WAG12B","SU","D","21:40","","Y","RYD 090221035758","Y","C","Valid CC","2177.22","06:00 05-06-25","","","","25","","","","KYN","CPD","BCT","WR","JNPT","BB","CR","CONR","R=52-","L","CONT","CONR","CONR","BLC","","","N","45","0","2","45.0+2.0","SEC","32845","WAG9HC","SU","N","18:03","","Y","TICD181023131133","Y","C","Valid CC","2438.97","06:00 05-06-25",
