MA4 TRAINWISE INTERCHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[  Zone: WR,  DateFrom: 03-01-2026,  DateTo: 03-01-2026,  Gauge: BG,;  TakenOver: 197=233+0;  HandedOver: 185=217+0;  HandedOverCc8Cont: 147;  HandedOverCc6Cont: 11;  TakenOverCc8Cont: 137;  TakenOverCc6Cont: 7 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,ZONE FROM,ZONE TO,IC STTN,TAKEN OVER SR.NO.,TAKEN OVER DRTN,TAKEN OVER STTN FROM,TAKEN OVER DVSN FROM,TAKEN OVER ZONE FROM,TAKEN OVER STTN TO,TAKEN OVER DVSN TO,TAKEN OVER ZONE TO,TAKEN OVER OWNR,TAKEN OVER LOAD NAME,TAKEN OVER L/E,TAKEN OVER CMDT,TAKEN OVER CNSR,TAKEN OVER CNSG,TAKEN OVER TYPE,TAKEN OVER MULTIDSTN DVSN(DSTN),TAKEN OVER MULTIDSTN UNITS,TAKEN OVER DS,TAKEN OVER 8W(L),TAKEN OVER 8W(E),TAKEN OVER 8W(BV),TAKEN OVER TOTL(8W),TAKEN OVER OWNG,TAKEN OVER LOCO,TAKEN OVER LOCO TYPE,TAKEN OVER LOCO UNTS,TAKEN OVER LOCO HRP,TAKEN OVER TIME,TAKEN OVER CC+6,TAKEN OVER CC+8,TAKEN OVER RAKEID,TAKEN OVER TWIN PIPE,TAKEN OVER CTGR,TAKEN OVER EXAM TYPE,TAKEN OVER TONNAGE(in Tonnes),TAKEN OVER LDNG DATE,TAKEN OVER SCHEME CODE,HANDED  OVER INTERCHANGE POINT STATION,HANDED  OVER INTERCHANGE POINT DIVISION,HANDED  OVER INTERCHANGE POINT ZONE,HANDED OVER SR.NO.,TAKEN OVER INTERCHANGE  POINT STATION,TAKEN OVER INTERCHANGE  POINT DIVISION,TAKEN OVER INTERCHANGE  POINT ZONE,HANDED OVER DRTN,HANDED OVER STTN FROM,HANDED OVER DVSN FROM,HANDED OVER ZONE FROM,HANDED OVER STTN TO,HANDED OVER DVSN TO,HANDED OVER ZONE TO,HANDED OVER OWNR,HANDED OVER LOAD NAME,HANDED OVER L/E,HANDED OVER CMDT,HANDED OVER CNSR,HANDED OVER CNSG,HANDED OVER TYPE,HANDED OVER MULTIDSTN DVSN(DSTN),HANDED OVER MULTIDSTN UNITS,HANDED OVER DS,HANDED OVER 8W(L),HANDED OVER 8W(E),HANDED OVER 8W(BV),HANDED OVER TOTL(8W),HANDED OVER OWNG,HANDED OVER LOCO,HANDED OVER LOCO TYPE,HANDED OVER LOCO UNTS,HANDED OVER LOCO HRP,HANDED OVER TIME,HANDED OVER CC+6,HANDED OVER CC+8,HANDED OVER RAKEID,HANDED OVER TWIN PIPE,HANDED OVER CTGR,HANDED OVER EXAM TYPE,HANDED OVER TONNAGE(in Tonnes),HANDED OVER LDNG DATE,HANDED OVER SCHEME CODE
03-01-2026,WR,CR,BSR,17,KYN,KTIG,BB,CR,CMLK,WDFC,DFCR,CONR,M=1--,L,CONT,CONR,CONR,BLL,,,N,40,0,0,40.0+0.0,SC,43838,WAG9HC,SU,S,16:18,,Y,TICD081125034545,Y,C,Valid CC,1972.81,02:20 03-01-26,,SJN,WDFC,DFCR,19,,,,KYN,AFAS,BCT,WR,PATP,BB,CR,CONR,ADANI-112-,L,CONT,ADIL,ADIL,BLC,,,N,45,0,1,45.0+1.0,CR,42118,WAG9HC,SU,S,19:50,,Y,SMYD130525201712,Y,C,Valid CC,224,02:20 03-01-26,
03-01-2026,WR,CR,BSR,18,KYN,JNPT,BB,CR,AFAS,BCT,WR,ADIL,NTSJ-ADIL09,L,CONT,ADIL,ADIL,BLC,,,N,40,0,0,40.0+0.0,ER,28084,WAG7,SU,N,17:04,,Y,KTTW180323210114,Y,C,Valid CC,1811.7,14:05 02-01-26,,,,,20,SAH,WDFC,DFCR,KYN,AOMM,ADI,WR,MAAM,SBC,SW,ADIL,ICAK-20,L,CONT,ILSL,ILSL,BLC,,,N,45,0,0,45.0+0.0,NE,44254,WAG9HC,SU,N,20:14,,Y,ICAK050325164010,Y,C,Valid CC,3112.7,14:05 02-01-26,
03-01-2026,WR,CR,BSR,19,KYN,CRTK,BB,CR,TCLS,RJT,WR,CNCR,"J-48,H-",L,CONT,CONR,CONR,BLC,,,N,40,0,1,40.0+1.0,EC,31060,WAG9,SU,S,17:40,,Y,CTKR060825092515,Y,C,Valid CC,212.04,19:45 02-01-26,,SAH,WDFC,DFCR,21,,,,KYN,BNGD,BCT,WR,JNPT,BB,CR,CNCR,R-104-H--,L,CONT,CONR,CONR,BLC,,,N,45,0,0,45.0+0.0,SEC,28229,WAG7,MU,N,20:49,,Y,KTTY160625092829,Y,C,Valid CC,2021.56,19:45 02-01-26,
03-01-2026,WR,CR,BSR,20,KYN,JNPT,BB,CR,CPFS,WDFC,DFCR,CONR,R-137H---M=771,L,CONT,CONR,CONR,BLC,,,N,39,1,1,40.0+1.0,EC,31412,WAG9H,SU,N,18:01,,Y,ICDD280725190933,N,C,Valid CC,1018.66,18:45 01-01-26,,SJN,WDFC,DFCR,,,,,,,,WR,,,CR,,,,,,,,,,,,,,,SEC,28315,WAG7,MU,S,,,,,Y,,,,,
03-01-2026,WR,CR,BSR,21,KYN,JNPT,BB,CR,KPFP,BPL,WC,CRRP,TXDP-25-=CRRS04,L,CONT,CRRS,CRRS,BLC,,,N,45,0,0,45.0+0.0,NE,43849,WAG9HC,SU,S,18:54,,Y,KBGB111023150958,Y,C,Valid CC,1058.08,04:10 03-01-26,,SJN,WDFC,DFCR,22,SAH,WDFC,DFCR,KYN,ICDD,PRYJ,NC,JNPT,BB,CR,CRRP,R-65-JNPT,L,CONT,CONR,CONR,BLC,,,N,45,0,0,45.0+0.0,CR,21971,WCAG1,MU,N,21:05,,Y,RYD 131224174108,Y,C,Valid CC,1266.23,04:10 03-01-26,
03-01-2026,WR,CR,BSR,22,KYN,JNPT,BB,CR,AFAS,BCT,WR,GIPL,RK-19-=ADIL11,L,CONT,ADIL,ADIL,BLC,,,N,40,0,1,40.0+1.0,WR,43911,WAG9HC,SU,S,19:49,,Y,GMC 040725225057,Y,C,Valid CC,1303.97,21:45 02-01-26,,SAH,WDFC,DFCR,,,,,,,,NC,,,CR,,,,,,,,,,,,,,,CR,21974,WCAG1,MU,N,,,,,Y,,,,,
03-01-2026,WR,CR,BSR,23,KYN,JNPT,BB,CR,CGMV,BRC,WR,CONR,R-102-----=705,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,EC,38423,WAG9HC,MU,S,20:35,,Y,ICDD121125113750,Y,C,Valid CC,430.17,07:30 03-01-26,,SJN,WDFC,DFCR,23,SAH,WDFC,DFCR,KYN,ICDD,PRYJ,NC,JNPT,BB,CR,CONR,SNF-J-29H/JNPT,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,WC,41755,WAG9HC,SU,S,21:05,,Y,ICDG200622125613,Y,C,Valid CC,1422.89,07:30 03-01-26,
03-01-2026,WR,CR,BSR,,,,,CR,,,WR,,,,,,,,,,,,,,,EC,38512,WAG9HC,MU,S,,,,,Y,,,,,,,,,24,SAH,WDFC,DFCR,KYN,FN,DLI,NR,CCH,PUNE,CR,CONR,TCOI=01--,E,,,,BCACBM,,,N,0,27,1,27.0+1.0,WR,42470,WAG9HC,SU,D,21:11,,,JUDW200924155708,Y,C,Valid CC,0,07:30 03-01-26,
03-01-2026,WR,CR,BSR,24,KYN,BOR,BCT,WR,BOR,BCT,WR,JSWT,JSWD-11-,L,IS,JSWT,JSWT,BFNV,,,N,58,0,0,58.0+0.0,SC,69099,WDG6G,MU,N,21:00,,Y,MJMK300523190944,Y,C,Valid CC,3271.37,,SFTO,,,,25,,,,KYN,AFAS,BCT,WR,JNPT,BB,CR,JSWT,ADANI-114-,L,CONT,ADIL,ADIL,BLC,,,N,45,0,1,45.0+1.0,NR,33778,WAG9HC,SU,D,21:14,,Y,SMYD151025214425,Y,C,Valid CC,1345.29,,
03-01-2026,WR,CR,BSR,,,,,WR,,,WR,,,,,,,,,,,,,,,SC,69160,WDG6G,MU,N,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,CR,BSR,25,KYN,ICDD,PRYJ,NC,JNPT,BB,CR,CONR,SNF-J-29H/JNPT,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,WC,41755,WAG9HC,SU,S,21:30,,Y,ICDG200622125613,Y,C,Valid CC,1422.89,23:55 01-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,CR,BSR,26,KYN,JNPT,BB,CR,CCTA,BRC,WR,CONR,T-74H--=711,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,NR,43522,WAG9HC,SU,S,23:33,,Y,ICDD111225013120,Y,C,Valid CC,2355.4,12:40 03-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,CR,JL,1,NDB,HSLH,R,SEC,TSWS,BRC,WR,IR,N/TSWS,L,NPHC,MCWP,GSEC,BOXN,,,N,59,0,1,59.0+1.0,NR,24626,WAG7,SU,N,00:26,,Y,UDLU141125165012,N,P,Valid Premium,4086.36,04:40 29-12-25,,,,,1,,,,NDB,PLD,BCT,WR,BSL,BSL,CR,JSWT,INT-FIT,E,,,,BOXNHL,,,N,0,57,0,57.0+0.0,WR,33378,WAG9HC,SU,S,01:35,,,GY  011124101652,N,,Intensive,0,,
